symbol	Name	Title	id	type	char_flags_txt	char_flags_txt_value	flags_txt	flags_txt_value	x	y	direction	shield	portrait	movetype	movemode	speed	int_speed	energy	energy_max	energy_med	rest	rest_count	timeout	combat_opponent	combat_str	combat_power	combat_limit	quest	quest_stage	quest1	quest2	quest3	quest4	shelter_State	shelter_X	shelter_Y	shelter_Dir	shelter_Num	shelter_Type	lstblk_x	lstblk_y	rank	army_race	army_size	army_lost	army_kill	army_flags	start_realm	start_land	sleep_time	wake_time	weapons	weapon_details	weapons_link	find_status	quest_type1	quest_type2	time	wait	flags_2_txt	flags_2_txt_value	purpose	reaction	allegiance	land	realm	qualities1_txt	qualities1_txt_value	qualities2_txt	qualities2_txt_value	xi	yi	lives	strength	armies
CH_DJALINA	Djalina	Snowheart	11	character	+rescue	16	+height+obstacle+female	32773	145	220	NORTH	shield_40	head_12	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Uskarg	0	0	0	43690	The Fallows	Theodel	1080	120	1	0	-1	0	-1	-1	0	0		0	BE_A_HOSTAGE	RETURN_HOME	Uskarg	0	0	+bold+energetic+gallant	135176	+reckless	2	0	0	0	0	0
CH_GRUMRUD	Grumrud	Slowaxe	12	character		0	+height+obstacle	5	59	130	NORTH	shield_17	head_13	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Long Dwarf	75	0	0	43690	The Long Mountains	Saradwin	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Long Dwarf	0	0	+bold+kind+charming	262168		0	0	0	0	0	0
CH_ASHOLETH	Asholeth	the Fey	13	character		0	+height+obstacle	5	18	159	NORTH	shield_13	head_14	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	High Fey	70	0	0	43690	Wierdwood	Forgotten	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	High Fey	0	0	+selfless+eager+persuasive	67110916		0	0	0	0	0	0
CH_BOROTH	Boroth	the Wolfheart	14	character	+knowledge	2	+height+obstacle	5	145	220	NORTH	shield_21	head_15	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dark Fey	10050	0	0	43690	The Marish	Maranor	360	840	1	0	-1	0	-1	-1	0	0		0	DARK_FEY	RETURN_HOME	Dark Fey	0	0	+a superb leader	-2147483648	+cruel+vicious+blood thirsty	2097232	0	0	5	0	0
CH_ILDRAR	Ildrar	the Stubborn	15	character		0	+height+obstacle	5	112	107	NORTH	shield_47	head_16	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dawn Fey	70	0	0	43690	Dawnwood	Maralan	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dawn Fey	0	0	+charming	262144	+reckless+headstrong	65538	0	0	0	0	0
CH_MOGRIK	Mogrik	the Witless	16	character	+knowledge+rescue	18	+height+obstacle	5	145	220	NORTH	shield_7	head_17	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Kith	0	0	0	43690	The Witherlands	Erifel	1380	420	1	0	-1	0	-1	-1	0	0		0	BE_A_HOSTAGE	RETURN_HOME	Kith	0	0	+warm-hearted+home-loving	1056	+slow-witted	256	0	0	0	0	0
CH_TORGRIM	Torgrim	Arrowhand	17	character		0	+height+obstacle	5	231	40	NORTH	shield_35	head_18	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	75	0	0	43690	Arungor	Dragon	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+selfless	4	+cold_hearted+restless	1056	0	0	0	0	0
CH_UTHRAN	Uthran	the Meddler	18	character		0	+height+obstacle	5	150	247	NORTH	shield_34	head_19	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	0	0	0	43690	Arungor	Dragon	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+talkative+persuasive	67109376		0	0	0	0	0	0
CH_MARIK	Marik	Silktongue	19	character		0	+height+obstacle	5	91	245	NORTH	shield_59	head_20	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Gelming	75	0	0	43690	The Gelm	Gilgrath	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Gelming	0	0	+modest+persuasive+naive	335560704		0	0	0	0	0	0
CH_HARAGLAI	Haraglai	Stormgut	20	character		0	+height+obstacle	5	147	158	NORTH	shield_18	head_21	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Uskarg	80	0	0	43690	The Fallows	Skordroth	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Uskarg	0	0	+talkative+hot-tempered	536871424	+reckless	2	0	0	0	0	0
CH_OGLIM	Oglim	the Lonely	21	character	+knowledge	2	+height+obstacle	5	73	115	NORTH	shield_26	head_22	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Long Dwarf	170	0	0	43690	The Long Mountains	Beomir	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Long Dwarf	0	0	+brave+a mighty warrior	1073741825	+headstrong+solitary	1114112	0	0	0	0	0
CH_ALOROTH	Aloroth	the Fey	22	character	+rescue	16	+height+obstacle	5	145	220	NORTH	shield_33	head_23	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dawn Fey	0	0	0	43690	Dawnwood	Carafel	360	840	1	0	-1	0	-1	-1	0	0		0	BE_A_HOSTAGE	RETURN_HOME	Dawn Fey	0	0	+generous+eager	2176	+impatient	16777216	0	0	0	0	0
CH_YRGRETH	Yrgreth	Deathbringer	23	character		0	+height+obstacle	5	129	155	NORTH	shield_14	head_24	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dark Fey	450	0	0	43690	The Marish	Gliwain	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dark Fey	0	0	+quick-witted	256	+vicious+greedy	192	0	0	0	0	0
CH_STUBLOG	Stublog	Ironskull	24	character		0	+height+obstacle	5	186	191	NORTH	shield_31	head_25	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Giant	58	0	0	43690	The Delve	Grorn	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Giant	0	0	+talkative+naive	268435968	+reckless	2	0	0	0	0	0
CH_ORABRIN	Orabrin	Lionsblood	25	character		0	+height+obstacle	5	19	50	NORTH	shield_16	head_26	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Kith	95	0	0	43690	The Witherlands	Eomir	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Kith	0	0	+brave+gallant+knowledgeable	134348801		0	0	0	0	0	0
CH_SPARTHOR	Sparthor	the Patient	26	character		0	+height+obstacle	5	237	16	NORTH	shield_28	head_27	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	70	0	0	43690	Arungor	Angelf	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+loyal+polite+patient	21495808		0	0	0	0	0	0
CH_CADRON	Cadron	the Bemused	27	character		0	+height+obstacle	5	150	247	NORTH	shield_34	head_28	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Kith	0	0	0	43690	The Witherlands	Eomir	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Kith	0	0	+peaceable	2097152	+slow-witted	256	0	0	0	0	0
CH_BRUNAK	Brunak	the Wanderer	28	character		0	+height+obstacle	5	174	13	NORTH	shield_15	head_29	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	60	0	0	43690	The Last Northing	Sharmark	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+bold+eager+tireless	10248	+restless	1024	0	0	0	0	0
CH_SKARAI	Skarai	the Dreamer	29	character		0	+height+obstacle	5	149	187	NORTH	shield_25	head_30	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Uskarg	80	0	0	43690	The Fallows	Athrudan	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Uskarg	0	0	+generous+passionate+peaceable	2130048		0	0	0	0	0	0
CH_RUGRAK	Rugrak	Firmaxe	30	character		0	+height+obstacle	5	147	31	NORTH	shield_17	head_31	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Long Dwarf	80	0	0	43690	The Long Mountains	Isilfrey	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Long Dwarf	0	0	+loyal	524288	+reckless	2	0	0	0	0	0
CH_MORGRETH	Morgreth	the Unsure	31	character		0	+height+obstacle	5	171	100	NORTH	shield_47	head_32	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dawn Fey	60	0	0	43690	Dawnwood	Romiel	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dawn Fey	0	0	+level-headed	33554432	+cautious+tight-lipped	520	0	0	0	0	0
CH_GRALETH	Graleth	the Bitter	32	character		0	+height+obstacle	5	131	234	NORTH	shield_38	head_33	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dark Fey	500	0	0	43690	The Marish	Ravens	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dark Fey	0	0		0	+cruel+cold_hearted+ignorant	134217776	0	0	0	0	0
CH_MUGLUM	Muglum	the Handsome	33	character		0	+height+obstacle	5	174	205	NORTH	shield_61	head_34	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Giant	65	0	0	43690	The Delve	Iron	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Giant	0	0	+far-sighted	2	+arrogant+headstrong	81920	0	0	0	0	0
CH_DOROK	Dorok	the Dour	34	character		0	+height+obstacle	5	94	72	NORTH	shield_6	head_35	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Atheling	80	0	0	43690	The Lee	Cerevere	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Atheling	0	0	+brave+passionate	32769	+arrogant	16384	0	0	0	0	0
CH_SCIRANE	Scirane	the Swift	35	character		0	+height+obstacle	5	219	92	NORTH	shield_46	head_36	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	75	0	0	43690	Arungor	Cormir	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+energetic+gallant+hot-tempered	537006080		0	0	0	0	0	0
CH_SADLAK	Sadlak	the Merry	36	character		0	+height+obstacle	5	151	15	NORTH	shield_54	head_4	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Long Dwarf	55	0	0	43690	The Long Mountains	Erenim	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Long Dwarf	0	0	+talkative+home-loving+charming	263680		0	0	0	0	0	0
CH_CORLANE	Corlane	the Bear	37	character	+knowledge	2	+height+obstacle	5	128	96	NORTH	shield_19	head_38	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	70	0	0	43690	The Last Northing	Galorbard	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+brave+generous+tireless+gallant+loyal+a mighty warrior	1074405505	+reckless	2	0	0	0	0	0
CH_MOGLAI	Moglai	Firewolf	38	character		0	+height+obstacle	5	180	172	NORTH	shield_60	head_39	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Uskarg	70	0	0	43690	The Fallows	Erilmark	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Uskarg	0	0	+brave+energetic	4097	+arrogant	16384	0	0	0	0	0
CH_NORGRIM	Norgrim	the Rock	39	character	+knowledge	2	+height+obstacle	5	88	162	NORTH	shield_30	head_40	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Deeping Dwarf	185	0	0	43690	The Deeping	Thunder	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Deeping Dwarf	0	0	+brave+bold+hot-tempered+a mighty warrior	1610612745		0	0	0	0	0	0
CH_JARLETH	Jarleth	the Shining	40	character	+knowledge	2	+height+obstacle	5	41	153	NORTH	shield_39	head_41	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	High Fey	180	0	0	43690	Wierdwood	Shimmering	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	High Fey	0	0	+quick-witted+knowledgeable+a superb leader	-2013265664	+cautious	8	0	0	0	0	0
CH_URSKRETH	Urskreth	the Vile	41	character		0	+height+obstacle	5	134	182	NORTH	shield_51	head_42	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dark Fey	455	0	0	43690	The Marish	Malgor	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dark Fey	0	0		0	+arrogant+repulsive+provocative	4472832	0	0	0	0	0
CH_BORGALUG	Borgalug	Bonecrusher	42	character	+knowledge	2	+height+obstacle	5	210	212	NORTH	shield_37	head_43	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Giant	190	0	0	43690	The Delve	Skirol	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Giant	0	0		0	+greedy+restless+ignorant	134218880	0	0	0	0	0
CH_ARANOR	Aranor	Boldsword	43	character		0	+height+obstacle	5	130	37	NORTH	shield_6	head_44	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Atheling	90	0	0	43690	The Lee	Imildral	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Atheling	0	0	+bold+quick-witted	264	+reckless	2	0	0	0	0	0
CH_MOONGRIM	Moongrim	Longneck	44	character		0	+height+obstacle	5	221	46	NORTH	shield_3	head_45	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dragonlord	75	0	0	43690	Arungor	Rildroth	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dragonlord	0	0	+gallant	131072	+provocative+impatient	20971520	0	0	0	0	0
CH_LEONIK	Leonik	Leatherhand	45	character		0	+height+obstacle	5	150	247	NORTH	shield_34	head_46	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Deeping Dwarf	0	0	0	43690	The Deeping	Thunder	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Deeping Dwarf	0	0		0	+arrogant+sceptical	268451840	0	0	0	0	0
CH_STORBOLD	Storbold	the Scribbler	46	character		0	+height+obstacle	5	207	36	NORTH	shield_19	head_47	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	55	0	0	43690	The Last Northing	Melibor	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+quick-witted+reliable+loyal	590080		0	0	0	0	0	0
CH_ARBETHOR	Arbethor	Greenhand	47	character		0	+height+obstacle	5	170	88	NORTH	shield_41	head_48	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Arakai	70	0	0	43690	The Last Northing	Orcar	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Arakai	0	0	+home-loving+reliable+loyal	590848		0	0	0	0	0	0
CH_AMARIN	Amarin	Starchaser	48	character	+knowledge	2	+height+obstacle	5	36	246	NORTH	shield_5	head_8	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Gelming	195	0	0	43690	The Gelm	Samarand	1080	120	1	0	-1	0	-1	-1	0	0		0	BE_A_HOSTAGE	RETURN_HOME	Gelming	0	0	+tireless+charming+persuasive+a mighty warrior	1141121024		0	0	0	0	0	0
CH_AVILA	Avila	the Cold	49	character		0	+height+obstacle+female	32773	28	123	NORTH	shield_44	head_50	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Eldrin	85	0	0	43690	Eldmark	Erilan	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Eldrin	0	0	+home-loving+naive	268436480	+cold_hearted	32	0	0	0	0	0
CH_HOON	Hoon	the Warrior	50	character		0	+height+obstacle	5	15	219	NORTH	shield_50	head_51	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Gelming	65	0	0	43690	The Gelm	Geremiel	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Gelming	0	0	+brave+modest+loyal	540673		0	0	0	0	0	0
CH_EOTHOR	Eothor	Sparehand	51	character		0	+height+obstacle	5	105	15	NORTH	shield_49	head_52	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Atheling	70	0	0	43690	The Lee	Thumar	1080	120	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Atheling	0	0	+bold+kind	24	+reckless	2	0	0	0	0	0
CH_SNORGLUM	Snorglum	Bighammer	52	character		0	+height+obstacle	5	233	203	NORTH	shield_31	head_53	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Giant	60	0	0	43690	The Delve	Storms	1380	420	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Giant	0	0	+brave+hot-tempered	536870913	+greedy	128	0	0	0	0	0
CH_ORGROTHA	Orgrotha	the Persuader	53	character		0	+height+obstacle+female	32773	145	220	NORTH	shield_4	head_54	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Dark Fey	510	0	0	43690	The Marish	Maranor	660	1140	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Dark Fey	0	0	+quick-witted+persuasive	67109120	+blood thirsty	2097152	0	0	0	0	0
CH_FORTHAR	Forthar	the Hunter	54	character		0	+height+obstacle	5	119	15	NORTH	shield_49	head_55	0	-1	0	3	1440	1440	960	720	0	0	0	1024	128	128	REST	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	Atheling	85	0	0	43690	The Lee	Sharvik	360	840	1	0	-1	0	-1	-1	0	0		0	DEFEND_HOMELAND	RETURN_HOME	Atheling	0	0	+generous+eager+modest	18560		0	0	0	0	0	0
